Model,AUC_Mean,AUC_Std,Accuracy_Mean,Accuracy_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std,Optimal_Threshold_Mean,Optimal_Threshold_Std,Best_Params
LightGBM,0.7882209188660803,0.037843415214427197,0.8026836581709146,0.07486663132705128,0.602093837535014,0.19515184276841982,0.6462450592885376,0.19697123921472887,0.5664114264114264,0.046355192047967106,0.5479999999999998,0.15892136420255137,"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.05, 'classifier__max_depth': 10, 'classifier__min_child_samples': 20, 'classifier__n_estimators': 50, 'classifier__num_leaves': 15, 'classifier__subsample': 0.7}"
XGBoost,0.7895405669599218,0.037685096741193955,0.8390704647676162,0.030337856456401902,0.6699961685823755,0.1850467479025064,0.5134387351778656,0.09864333047653398,0.5536488382036808,0.04210829529568935,0.6019999999999996,0.13614697940093998,"{'classifier__colsample_bytree': 0.7, 'classifier__gamma': 0.1, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 50, 'classifier__reg_alpha': 0, 'classifier__reg_lambda': 1, 'classifier__subsample': 0.7}"
