Model,AUC_Mean,AUC_Std,Accuracy_Mean,Accuracy_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std,Optimal_Threshold_Mean,Optimal_Threshold_Std,Best_Params
Logistic Regression,0.6670534234349101,0.04486579173778083,0.7474062968515742,0.060086928764764375,0.42007252244323184,0.08845220202223461,0.5486166007905138,0.12703436791526113,0.46085607654245164,0.052634863686795486,0.5619999999999997,0.027856776554368214,"{'classifier__C': 0.01, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}"
Random Forest,0.7672319265587147,0.04519878987949329,0.8287406296851575,0.037291170147518635,0.6173330701556508,0.16582941609686483,0.5486166007905138,0.071251568943834,0.5601011746564307,0.028765889720585486,0.5359999999999998,0.09134549797335385,"{'classifier__max_depth': 5, 'classifier__max_features': None, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}"
Gradient Boosting,0.7705916103531812,0.030251844611127638,0.7817541229385306,0.12766360886514322,0.659524074456755,0.27444227386072095,0.6130434782608696,0.20928620481144805,0.5437495643978648,0.06751319225697684,0.5259999999999998,0.2494473892427017,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 50, 'classifier__subsample': 0.8}"
