Year,Mortality_Rate_Pct
2003,44.85207100591716
2004,40.416666666666664
2005,43.582375478927204
2006,40.041710114702816
2007,38.628158844765345
2008,40.44032444959444
2009,35.68242640499554
2010,36.242138364779876
2011,33.02521008403361
2012,36.84661525278492
2013,34.74178403755869
2014,35.155850792028616
2015,34.25044091710758
2016,34.152883325882875
2017,35.31281365005018
2018,32.281587435142335
2019,33.74288670460424
2020,33.555902827106124
2021,34.04525807271803
2022,37.03571852379257
2023,35.29266789895256
2024,33.87178192831903
2025,34.52556538839725
